service_key,service_type,raw_rows,pickup_nulls,out_of_window,excluded_records,valid_trip_records,share_of_valid_trips_pct,rank,share_of_yellow_green_pct
yellow,Yellow Taxi,20332093,0,39,39,20332054,13.5859,1,98.3562
green,Green Taxi,339807,0,6,6,339801,0.2271,2,1.6438
