source_kind,service_key,service_type,year,month,file_name,source_url,landing_page,dictionary_url,local_path,downloaded_this_run,byte_size,sha256,acquired_at_utc,parquet_row_groups,parquet_rows_metadata,field_count,fields,schema_fingerprint
trip_record_parquet,fhvhv,High Volume FHV (HVFHV),2024,5,fhvhv_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-05.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_hvfhs.pdf,data/raw/fhvhv_tripdata_2024-05.parquet,False,498575918,152db11cbc95a796fea0b9cb26184b3c4cfad181fa9d7488d4c61f06c521b4b5,2026-09-14T16:56:40.950803+00:00,20,20704538,24,hvfhs_license_num | dispatching_base_num | originating_base_num | request_datetime | on_scene_datetime | pickup_datetime | dropoff_datetime | PULocationID | DOLocationID | trip_miles | trip_time | base_passenger_fare | tolls | bcf | sales_tax | congestion_surcharge | airport_fee | tips | driver_pay | shared_request_flag | shared_match_flag | access_a_ride_flag | wav_request_flag | wav_match_flag,9e95ed8d8ad3c96cd3bf9cb77d4f3804686c52e1c71b3dc079a58de60e4574bd
trip_record_parquet,fhvhv,High Volume FHV (HVFHV),2024,6,fhvhv_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-06.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_hvfhs.pdf,data/raw/fhvhv_tripdata_2024-06.parquet,False,484417715,4772ee1ab01e639a5db74169b49049f74f0f46a0c925fd3b67f9f068221f6373,2026-09-14T16:56:42.441016+00:00,20,20123226,24,hvfhs_license_num | dispatching_base_num | originating_base_num | request_datetime | on_scene_datetime | pickup_datetime | dropoff_datetime | PULocationID | DOLocationID | trip_miles | trip_time | base_passenger_fare | tolls | bcf | sales_tax | congestion_surcharge | airport_fee | tips | driver_pay | shared_request_flag | shared_match_flag | access_a_ride_flag | wav_request_flag | wav_match_flag,9e95ed8d8ad3c96cd3bf9cb77d4f3804686c52e1c71b3dc079a58de60e4574bd
trip_record_parquet,green,Green Taxi,2024,1,green_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-01.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,data/raw/green_tripdata_2024-01.parquet,False,1362284,1512a953bed564ac68dcb622827424dfb4f68ad93c2a4572e50ef6ab0b09c1ad,2026-09-14T16:56:33.222023+00:00,1,56551,20,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge,5c970454ccb51834facbdf1ecc3618233dcae5fbdefd858a3c132a3a8c731166
trip_record_parquet,green,Green Taxi,2024,2,green_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-02.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,data/raw/green_tripdata_2024-02.parquet,False,1283805,cb7eb405ee7e795c9fd6b8ad1b291f46f4e0a1cd60a57067b0aaca2420e8bc5d,2026-09-14T16:56:33.227571+00:00,1,53577,20,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge,5c970454ccb51834facbdf1ecc3618233dcae5fbdefd858a3c132a3a8c731166
trip_record_parquet,green,Green Taxi,2024,3,green_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-03.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,data/raw/green_tripdata_2024-03.parquet,False,1372372,43dedd66dd556acfc38da679a174b6adc32e01dd6dccad14bdfdf1521a14abed,2026-09-14T16:56:33.232815+00:00,1,57457,20,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge,5c970454ccb51834facbdf1ecc3618233dcae5fbdefd858a3c132a3a8c731166
trip_record_parquet,green,Green Taxi,2024,4,green_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-04.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,data/raw/green_tripdata_2024-04.parquet,False,1346502,af174977258a02f8f44c37534abc9a8b4eaa5ec6d2f9c2bc49782327628b608c,2026-09-14T16:56:33.238730+00:00,1,56471,20,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge,5c970454ccb51834facbdf1ecc3618233dcae5fbdefd858a3c132a3a8c731166
trip_record_parquet,green,Green Taxi,2024,5,green_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-05.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,data/raw/green_tripdata_2024-05.parquet,False,1453912,aa8b1965ed36f0bda1b342930d5e6f5a89f8fe56d0c6c6d77d9c156b408aa0ea,2026-09-14T16:56:33.245049+00:00,1,61003,20,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge,5c970454ccb51834facbdf1ecc3618233dcae5fbdefd858a3c132a3a8c731166
trip_record_parquet,green,Green Taxi,2024,6,green_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2024-06.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,data/raw/green_tripdata_2024-06.parquet,False,1326194,47e7c37dd39069c474364aee3d76c9ddc887a3f714e9bb550b5866fe0b89b9cd,2026-09-14T16:56:33.250277+00:00,1,54748,20,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge,5c970454ccb51834facbdf1ecc3618233dcae5fbdefd858a3c132a3a8c731166
trip_record_parquet,yellow,Yellow Taxi,2024,1,yellow_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-01.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf,data/raw/yellow_tripdata_2024-01.parquet,False,49961641,c4d59da7bbc8abaeeeb1727947ee93d9891a71acb42854bd80db1571b2030510,2026-09-14T16:56:32.283368+00:00,3,2964624,19,VendorID | tpep_pickup_datetime | tpep_dropoff_datetime | passenger_count | trip_distance | RatecodeID | store_and_fwd_flag | PULocationID | DOLocationID | payment_type | fare_amount | extra | mta_tax | tip_amount | tolls_amount | improvement_surcharge | total_amount | congestion_surcharge | Airport_fee,4ff9a5d5eedeef9d2dcc9bdfbe9c2edbdb7369560ecb0e03e5fffc6d45f46e2b
trip_record_parquet,yellow,Yellow Taxi,2024,2,yellow_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-02.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf,data/raw/yellow_tripdata_2024-02.parquet,False,50349284,c76c43c18c6c6664080dd920baab4928988d5786a6b65980792ca7cd796f9f20,2026-09-14T16:56:32.453022+00:00,3,3007526,19,VendorID | tpep_pickup_datetime | tpep_dropoff_datetime | passenger_count | trip_distance | RatecodeID | store_and_fwd_flag | PULocationID | DOLocationID | payment_type | fare_amount | extra | mta_tax | tip_amount | tolls_amount | improvement_surcharge | total_amount | congestion_surcharge | Airport_fee,4ff9a5d5eedeef9d2dcc9bdfbe9c2edbdb7369560ecb0e03e5fffc6d45f46e2b
trip_record_parquet,yellow,Yellow Taxi,2024,3,yellow_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-03.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf,data/raw/yellow_tripdata_2024-03.parquet,False,60078280,2d4cdc8fb96726cdd3803b13b02d2e61e71d45720aff0ebc693a8bdd1f249823,2026-09-14T16:56:32.640845+00:00,4,3582628,19,VendorID | tpep_pickup_datetime | tpep_dropoff_datetime | passenger_count | trip_distance | RatecodeID | store_and_fwd_flag | PULocationID | DOLocationID | payment_type | fare_amount | extra | mta_tax | tip_amount | tolls_amount | improvement_surcharge | total_amount | congestion_surcharge | Airport_fee,4ff9a5d5eedeef9d2dcc9bdfbe9c2edbdb7369560ecb0e03e5fffc6d45f46e2b
trip_record_parquet,yellow,Yellow Taxi,2024,4,yellow_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-04.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf,data/raw/yellow_tripdata_2024-04.parquet,False,59133625,ce37f736c7cf9e92164c850ef2b502a8f7bb590fc1804b6edbcb80293da01b89,2026-09-14T16:56:32.830651+00:00,4,3514289,19,VendorID | tpep_pickup_datetime | tpep_dropoff_datetime | passenger_count | trip_distance | RatecodeID | store_and_fwd_flag | PULocationID | DOLocationID | payment_type | fare_amount | extra | mta_tax | tip_amount | tolls_amount | improvement_surcharge | total_amount | congestion_surcharge | Airport_fee,4ff9a5d5eedeef9d2dcc9bdfbe9c2edbdb7369560ecb0e03e5fffc6d45f46e2b
trip_record_parquet,yellow,Yellow Taxi,2024,5,yellow_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-05.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf,data/raw/yellow_tripdata_2024-05.parquet,False,62553128,1974230be2b5a3ea92e47b5eb77f32dbf1de896d81ad8df4ab6faba52749ad23,2026-09-14T16:56:33.032177+00:00,4,3723833,19,VendorID | tpep_pickup_datetime | tpep_dropoff_datetime | passenger_count | trip_distance | RatecodeID | store_and_fwd_flag | PULocationID | DOLocationID | payment_type | fare_amount | extra | mta_tax | tip_amount | tolls_amount | improvement_surcharge | total_amount | congestion_surcharge | Airport_fee,4ff9a5d5eedeef9d2dcc9bdfbe9c2edbdb7369560ecb0e03e5fffc6d45f46e2b
trip_record_parquet,yellow,Yellow Taxi,2024,6,yellow_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-06.parquet,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://www.nyc.gov/assets/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf,data/raw/yellow_tripdata_2024-06.parquet,False,59859922,677cf14c8347f745b583f012fbdba072334c6c4efa17bfd6a64369f2ba30329c,2026-09-14T16:56:33.216562+00:00,4,3539193,19,VendorID | tpep_pickup_datetime | tpep_dropoff_datetime | passenger_count | trip_distance | RatecodeID | store_and_fwd_flag | PULocationID | DOLocationID | payment_type | fare_amount | extra | mta_tax | tip_amount | tolls_amount | improvement_surcharge | total_amount | congestion_surcharge | Airport_fee,4ff9a5d5eedeef9d2dcc9bdfbe9c2edbdb7369560ecb0e03e5fffc6d45f46e2b
